Cotten Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA*,"SMA SC-800CP-US - A1, Pac","SMA SC-800CP-US - A2, Pac","SMA SC-800CP-US - B1, Pac","SMA SC-800CP-US - B2, Pac","SMA SC-800CP-US - C1, Pac","SMA SC-800CP-US - C2, Pac"
,W/m²,kW,kW,kW,kW,kW,kW
2022-10-01 00:00:00,0,0,0,0,0,0,0
2022-10-01 01:00:00,0,0,0,0,0,0,0
2022-10-01 02:00:00,0,0,0,0,0,0,0
2022-10-01 03:00:00,0,0,0,0,0,0,0
2022-10-01 04:00:00,0,0,0,0,0,0,0
2022-10-01 05:00:00,0,0,0,0,0,0,0
2022-10-01 06:00:00,0,0,0,0,0,0,0
2022-10-01 07:00:00,12.20058,7.210803,6.92425,7.155222,7.200158,6.644875,7.470585
2022-10-01 08:00:00,71.95766,63.46732,59.80583,62.22189,63.17279,60.06236,64.15971
2022-10-01 09:00:00,78.71259,72.44086,69.21143,72.11042,74.25836,70.08975,74.85433
2022-10-01 10:00:00,133.1995,122.1138,118.5672,119.1799,121.4109,116.3945,125.8218
2022-10-01 11:00:00,176.362,150.34,143.2314,153.7735,154.3643,145.7713,145.2771
2022-10-01 12:00:00,194.6753,173.707,165.5919,170.2327,172.7758,162.9014,170.8018
2022-10-01 13:00:00,219.4553,191.5547,179.6653,189.5885,193.6646,180.3258,190.0121
2022-10-01 14:00:00,202.6016,175.5975,167.3955,173.9594,177.9669,167.6767,174.9263
2022-10-01 15:00:00,143.4881,125.0182,120.5997,125.0956,127.0802,119.5181,127.0473
2022-10-01 16:00:00,115.4858,104.6206,100.6374,102.38,104.3392,99.19717,106.4566
2022-10-01 17:00:00,75.93094,67.0022,64.2326,66.08691,68.05365,64.21384,68.7169
2022-10-01 18:00:00,18.44596,16.57863,16.28633,15.99932,16.3497,15.82798,17.29173
2022-10-01 19:00:00,0,0,0,0,0,0,0
2022-10-01 20:00:00,0,0,0,0,0,0,0
2022-10-01 21:00:00,0,0,0,0,0,0,0
