"Davis Lane Solar, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA*,"SMA SC-1850CP Inverter 1, Active power","SMA SC-1850CP Inverter 2, Active power","SMA SC-1850CP Inverter 3, Active power"
,W/m²,kW,kW,kW
2022-10-01 00:00:00,0,0,0,0
2022-10-01 01:00:00,0,0,0,0
2022-10-01 02:00:00,0,0,0,0
2022-10-01 03:00:00,0,0,0,0
2022-10-01 04:00:00,0,0,0,0
2022-10-01 05:00:00,0,0,0,0
2022-10-01 06:00:00,0,0,0,0
2022-10-01 07:00:00,54.61448,87.00146,87.22699,89.16929
2022-10-01 08:00:00,41.67741,70.99177,71.03578,73.95123
2022-10-01 09:00:00,81.02889,147.1555,148.3396,152.9552
2022-10-01 10:00:00,221.944,387.7651,392.4957,402.3824
2022-10-01 11:00:00,474.5481,787.6508,798.9237,817.9221
2022-10-01 12:00:00,887.9235,1325.008,1378.855,1426.635
2022-10-01 13:00:00,931.6693,1384.531,1388.035,1463.618
2022-10-01 14:00:00,899.5058,1393.281,1446.114,1483.735
2022-10-01 15:00:00,750.3868,1323.025,1365.119,1394.908
2022-10-01 16:00:00,531.8151,916.5087,979.1652,990.9506
2022-10-01 17:00:00,280.1487,424.734,482.7964,481.1176
2022-10-01 18:00:00,45.23572,51.09922,59.72862,57.62237
2022-10-01 19:00:00,0,0,0,0
2022-10-01 20:00:00,0,0,0,0
2022-10-01 21:00:00,0,0,0,0
2022-10-01 22:00:00,0,0,0,0
2022-10-01 23:00:00,0,0,0,0
2022-10-02 00:00:00,0,0,0,0
2022-10-02 01:00:00,0,0,0,0
2022-10-02 02:00:00,0,0,0,0
2022-10-02 03:00:00,0,0,0,0
2022-10-02 04:00:00,0,0,0,0
2022-10-02 05:00:00,0,0,0,0
2022-10-02 06:00:00,0,0,0,0
2022-10-02 07:00:00,10.69337,14.76426,14.07578,15.38217
2022-10-02 08:00:00,49.92036,86.63873,86.41161,89.14971
2022-10-02 09:00:00,105.6392,192.3792,194.1562,198.9142
2022-10-02 10:00:00,197.5775,354.7762,358.219,369.9807
2022-10-02 11:00:00,241.1709,430.2465,435.9814,444.445
2022-10-02 12:00:00,434.7576,754.4046,761.4639,762.055
2022-10-02 13:00:00,391.8095,663.3939,684.9581,706.5781
2022-10-02 14:00:00,427.5473,720.1196,742.6363,770.8253
2022-10-02 15:00:00,563.9675,1021.162,1085.505,1069.276
2022-10-02 16:00:00,219.5728,370.695,397.7505,405.265
2022-10-02 17:00:00,95.47376,157.015,160.3292,167.3744
2022-10-02 18:00:00,6.641555,9.73422,9.46561,10.37547
2022-10-02 19:00:00,0,0,0,0
2022-10-02 20:00:00,0,0,0,0
2022-10-02 21:00:00,0,0,0,0
2022-10-02 22:00:00,0,0,0,0
2022-10-02 23:00:00,0,0,0,0
2022-10-03 00:00:00,0,0,0,0
2022-10-03 01:00:00,0,0,0,0
2022-10-03 02:00:00,0,0,0,0
2022-10-03 03:00:00,0,0,0,0
2022-10-03 04:00:00,0,0,0,0
2022-10-03 05:00:00,0,0,0,0
2022-10-03 06:00:00,0,0,0,0
2022-10-03 07:00:00,11.09133,0.0911111,16.42254,17.67811
2022-10-03 08:00:00,63.0797,0,111.2188,114.9896
2022-10-03 09:00:00,123.8943,0,228.6181,231.9493
2022-10-03 10:00:00,170.1819,0,314.6504,325.7577
2022-10-03 11:00:00,226.9082,0,421.3795,428.6306
2022-10-03 12:00:00,204.8546,0,376.3853,386.6567
2022-10-03 13:00:00,297.8384,0,534.7471,556.1767
2022-10-03 14:00:00,287.2217,0,521.8587,532.9816
2022-10-03 15:00:00,212.6797,0,388.5826,396.2156
2022-10-03 16:00:00,124.6531,0,228.4029,232.4773
2022-10-03 17:00:00,56.27481,0,99.44376,104.1778
2022-10-03 18:00:00,11.45752,0,16.48634,17.50426
2022-10-03 19:00:00,0,0,0,0
2022-10-03 20:00:00,0,0,0,0
2022-10-03 21:00:00,0,0,0,0
2022-10-03 22:00:00,0,0,0,0
2022-10-03 23:00:00,0,0,0,0
2022-10-04 00:00:00,0,0,0,0
2022-10-04 01:00:00,0,0,0,0
2022-10-04 02:00:00,0,0,0,0
2022-10-04 03:00:00,0,0,0,0
2022-10-04 04:00:00,0,0,0,0
2022-10-04 05:00:00,0,0,0,0
2022-10-04 06:00:00,0,0,0,0
2022-10-04 07:00:00,10.51138,0,15.32307,16.54958
2022-10-04 08:00:00,68.2545,0,121.119,126.5195
2022-10-04 09:00:00,140.6145,0,251.8154,255.3831
2022-10-04 10:00:00,210.448,0,386.0479,392.2428
2022-10-04 11:00:00,287.3003,0,523.3133,530.8061
2022-10-04 12:00:00,235.1774,0,428.7775,436.7785
2022-10-04 13:00:00,208.9043,0,383.0449,397.5246
2022-10-04 14:00:00,303.16,0,545.275,563.0125
2022-10-04 15:00:00,205.9956,0,373.167,344.7524
2022-10-04 16:00:00,183.0219,0,322.3735,310.7587
2022-10-04 17:00:00,133.032,0,226.8284,212.4114
2022-10-04 18:00:00,19.79494,0,29.35985,28.69134
2022-10-04 19:00:00,0,0,0,0
2022-10-04 20:00:00,0,0,0,0
2022-10-04 21:00:00,0,0,0,0
2022-10-04 22:00:00,0,0,0,0
2022-10-04 23:00:00,0,0,0,0
2022-10-05 00:00:00,0,0,0,0
2022-10-05 01:00:00,0,0,0,0
2022-10-05 02:00:00,0,0,0,0
2022-10-05 03:00:00,0,0,0,0
2022-10-05 04:00:00,0,0,0,0
2022-10-05 05:00:00,0,0,0,0
2022-10-05 06:00:00,0,0,0,0
2022-10-05 07:00:00,19.84018,0,29.08514,27.57769
2022-10-05 08:00:00,100.1107,0,167.9476,161.056
2022-10-05 09:00:00,131.2716,0,234.0696,222.6793
2022-10-05 10:00:00,174.3575,0,313.6064,298.2778
2022-10-05 11:00:00,192.0354,0,351.1421,333.0595
2022-10-05 12:00:00,176.185,0,323.8387,312.5462
2022-10-05 13:00:00,218.642,0,397.7097,381.7871
2022-10-05 14:00:00,177.9178,0,326.3108,310.1429
2022-10-05 15:00:00,202.9619,0,361.6058,342.6872
2022-10-05 16:00:00,190.1317,0,329.5894,314.9698
2022-10-05 17:00:00,69.33067,0,115.1387,110.5737
2022-10-05 18:00:00,11.75167,0,16.18767,16.05256
2022-10-05 19:00:00,0,0,0,0
2022-10-05 20:00:00,0,0,0,0
2022-10-05 21:00:00,0,0,0,0
2022-10-05 22:00:00,0,0,0,0
2022-10-05 23:00:00,0,0,0,0
2022-10-06 00:00:00,0,0,0,0
2022-10-06 01:00:00,0,0,0,0
2022-10-06 02:00:00,0,0,0,0
