NC Solar I,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA,"SMA Inverter - 1A, Total AC Active Power","SMA Inverter - 2A, Total AC Active Power","SMA Inverter - 1B, Total AC Active Power","SMA Inverter - 2B, Total AC Active Power"
,W/m²,kW,kW,kW,kW
2022-10-01 00:00:00,1.338604,0,0,0,0
2022-10-01 01:00:00,1.200667,0,0,0,0
2022-10-01 02:00:00,1.197215,0,0,0,0
2022-10-01 03:00:00,1.243333,0,0,0,0
2022-10-01 04:00:00,1.206674,0,0,0,0
2022-10-01 05:00:00,1.259861,0,0,0,0
2022-10-01 06:00:00,1.157791,0,0,0,0
2022-10-01 07:00:00,10.73982,2.189508,2.388846,1.93895,0.9019765
2022-10-01 08:00:00,54.25245,22.85811,23.26881,17.00977,17.04474
2022-10-01 09:00:00,101.997,42.98822,46.01213,32.34306,35.53168
2022-10-01 10:00:00,231.8264,106.6131,113.1517,78.36246,87.05267
2022-10-01 11:00:00,336.2502,165.1019,174.3881,126.8392,139.5623
2022-10-01 12:00:00,405.9777,206.2388,226.2554,152.6887,174.2138
2022-10-01 13:00:00,665.693,294.3404,327.5648,220.094,253.1724
2022-10-01 14:00:00,556.789,251.5552,267.9041,189.5625,206.0236
2022-10-01 15:00:00,172.7696,74.1669,83.31345,56.30687,64.10153
2022-10-01 16:00:00,94.02613,39.2978,43.24241,29.60171,32.58826
2022-10-01 17:00:00,52.24416,18.88986,21.55741,13.59132,14.93315
2022-10-01 18:00:00,10.56601,0.7812949,1.155899,0.5617346,0.2668475
2022-10-01 19:00:00,1.133884,0,0.000314291,0,0
2022-10-01 20:00:00,0.9759655,0,0,0,0
2022-10-01 21:00:00,0.972639,0,0,0,0
2022-10-01 22:00:00,1.044688,0,0,0,0
2022-10-01 23:00:00,0.9016735,0,0,0,0
2022-10-02 00:00:00,0.860572,0,0,0,0
2022-10-02 01:00:00,0.736649,0,0,0,0
2022-10-02 02:00:00,0.603918,0,0,0,0
2022-10-02 03:00:00,0.4301875,0,0,0,0
2022-10-02 04:00:00,0.3970408,0,0,0,0
2022-10-02 05:00:00,0.609584,0,0,0,0
2022-10-02 06:00:00,0.715761,0,0,0,0
