Four Oaks,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA,"Eaton Power Expert 1670 2, Real power","Eaton Power Expert 1670 1, Real power","Eaton Power Expert 1670 3, Real power"
,W/m²,kW,kW,kW
2022-10-01 00:00:00,0,0,0,0
2022-10-01 01:00:00,0,0,0,0
2022-10-01 02:00:00,0.02440278,0,0,0
2022-10-01 03:00:00,0,0,0,0
2022-10-01 04:00:00,0,0,0,0
2022-10-01 05:00:00,0,0,0,0
2022-10-01 06:00:00,0,0,0,0
2022-10-01 07:00:00,4.153964,8.435015,7.952027,6.05683
2022-10-01 08:00:00,51.47853,90.92002,68.66252,83.0595
2022-10-01 09:00:00,144.6757,297.2762,298.6383,266.8243
2022-10-01 10:00:00,139.6306,272.2787,273.6122,245.0607
2022-10-01 11:00:00,160.2213,288.9746,291.1881,264.5286
2022-10-01 12:00:00,273.8772,513.0383,502.4937,460.7465
2022-10-01 13:00:00,255.3965,464.7868,467.8973,422.0153
2022-10-01 14:00:00,270.2781,456.0533,460.0778,419.6876
2022-10-01 15:00:00,256.7653,449.9579,453.9688,413.4408
2022-10-01 16:00:00,195.0928,332.967,336.2691,307.0456
2022-10-01 17:00:00,102.1413,164.797,164.7019,126.1494
2022-10-01 18:00:00,26.80142,29.28325,23.70298,23.85277
2022-10-01 19:00:00,0.5967778,0,0,0
2022-10-01 20:00:00,0,0,0,0
2022-10-01 21:00:00,0,0,0,0
2022-10-01 22:00:00,0,0,0,0
2022-10-01 23:00:00,0,0,0,0
2022-10-02 00:00:00,0,0,0,0
2022-10-02 01:00:00,0,0,0,0
2022-10-02 02:00:00,0,0,0,0
2022-10-02 03:00:00,0,0,0,0
2022-10-02 04:00:00,0,0,0,0
2022-10-02 05:00:00,0,0,0,0
2022-10-02 06:00:00,0,0,0,0
2022-10-02 07:00:00,54.1824,54.69387,54.81637,31.97366
2022-10-02 08:00:00,295.86,511.0415,534.5876,408.8959
2022-10-02 09:00:00,450.9932,874.4133,859.8672,737.4984
2022-10-02 10:00:00,270.501,406.2996,415.6905,371.3568
2022-10-02 11:00:00,135.7714,240.041,238.0613,218.8424
2022-10-02 12:00:00,258.5619,476.6965,473.7981,434.5373
2022-10-02 13:00:00,227.2344,392.5127,392.0058,364.0822
2022-10-02 14:00:00,283.6482,499.351,501.8694,453.3773
2022-10-02 15:00:00,181.9599,312.4164,316.5984,291.6256
2022-10-02 16:00:00,85.6933,153.6311,158.6478,142.5815
2022-10-02 17:00:00,47.74458,62.3654,65.31857,49.78584
2022-10-02 18:00:00,4.72445,0,0,0
2022-10-02 19:00:00,0.04997222,0,0,0
2022-10-02 20:00:00,0,0,0,0
2022-10-02 21:00:00,0,0,0,0
2022-10-02 22:00:00,0,0,0,0
2022-10-02 23:00:00,0,0,0,0
2022-10-03 00:00:00,0,0,0,0
2022-10-03 01:00:00,0,0,0,0
2022-10-03 02:00:00,0,0,0,0
2022-10-03 03:00:00,0,0,0,0
2022-10-03 04:00:00,0,0,0,0
2022-10-03 05:00:00,0,0,0,0
2022-10-03 06:00:00,0,0,0,0
2022-10-03 07:00:00,4.747529,3.385075,3.150073,2.531955
2022-10-03 08:00:00,37.78291,68.14558,64.33852,54.32321
2022-10-03 09:00:00,110.042,225.7776,227.0292,211.896
2022-10-03 10:00:00,200.1362,403.6065,405.006,380.0151
2022-10-03 11:00:00,224.4158,440.9878,449.2781,405.0503
2022-10-03 12:00:00,313.1885,587.366,594.022,543.6136
2022-10-03 13:00:00,251.8161,469.9036,472.5249,431.3091
2022-10-03 14:00:00,225.6631,431.5247,428.8424,388.5676
2022-10-03 15:00:00,282.08,504.455,509.8955,474.535
2022-10-03 16:00:00,140.259,257.7814,254.6161,235.3696
2022-10-03 17:00:00,80.21046,129.1541,127.1659,112.6063
2022-10-03 18:00:00,17.81264,9.60393,13.87067,12.64887
