Jersey Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA*,"SMA 1850kW Inverter - 1, AC Real Power","SMA 1850kW Inverter - 2, AC Real Power","SMA 1850kW Inverter - 3, AC Real Power"
,W/m²,kW,kW,kW
2022-10-01 00:00:00,0,,,
2022-10-01 01:00:00,0,,,
2022-10-01 02:00:00,0,,,
2022-10-01 03:00:00,0,,,
2022-10-01 04:00:00,0,,,
2022-10-01 05:00:00,0,,,
2022-10-01 06:00:00,0,,,
2022-10-01 07:00:00,8.202825,,,
2022-10-01 08:00:00,84.19401,,,
2022-10-01 09:00:00,267.4373,,,
2022-10-01 10:00:00,294.9987,,,
2022-10-01 11:00:00,586.8623,,,
2022-10-01 12:00:00,948.5338,,,
2022-10-01 13:00:00,697.5419,,,
2022-10-01 14:00:00,385.6998,,,
2022-10-01 15:00:00,428.9448,,,
2022-10-01 16:00:00,186.3174,,,
2022-10-01 17:00:00,55.72459,,,
2022-10-01 18:00:00,19.60007,,,
2022-10-01 19:00:00,0.3980244,,,
2022-10-01 20:00:00,,,,
2022-10-01 21:00:00,,,,
2022-10-01 22:00:00,,,,
2022-10-01 23:00:00,,,,
2022-10-02 00:00:00,,,,
2022-10-02 01:00:00,,,,
2022-10-02 02:00:00,,,,
2022-10-02 03:00:00,,,,
2022-10-02 04:00:00,,,,
2022-10-02 05:00:00,,,,
2022-10-02 06:00:00,,,,
2022-10-02 07:00:00,,,,
2022-10-02 08:00:00,,,,
2022-10-02 09:00:00,,,,
2022-10-02 10:00:00,,,,
2022-10-02 11:00:00,,,,
2022-10-02 12:00:00,,,,
2022-10-02 13:00:00,,,,
2022-10-02 14:00:00,,,,
2022-10-02 15:00:00,,,,
2022-10-02 16:00:00,,,,
2022-10-02 17:00:00,,,,
2022-10-02 18:00:00,,,,
2022-10-02 19:00:00,,,,
2022-10-02 20:00:00,,,,
2022-10-02 21:00:00,,,,
2022-10-02 22:00:00,,,,
2022-10-02 23:00:00,,,,
2022-10-03 00:00:00,,,,
2022-10-03 01:00:00,,,,
2022-10-03 02:00:00,,,,
2022-10-03 03:00:00,,,,
2022-10-03 04:00:00,,,,
2022-10-03 05:00:00,,,,
2022-10-03 06:00:00,,,,
2022-10-03 07:00:00,,,,
2022-10-03 08:00:00,,,,
2022-10-03 09:00:00,119.6845,,,
2022-10-03 10:00:00,173.9453,287.5,286.25,288
2022-10-03 11:00:00,215.4317,400,408.75,410.75
2022-10-03 12:00:00,211.7382,389.25,399.25,406.5
2022-10-03 13:00:00,222.0459,414.75,417.5,422
2022-10-03 14:00:00,260.5081,469,479,485.25
2022-10-03 15:00:00,232.9859,426.5,429.75,431.25
2022-10-03 16:00:00,192.5553,356.5,358,354.25
2022-10-03 17:00:00,177.2092,323.25,328.25,320.75
2022-10-03 18:00:00,32.34719,54.25,55.25,54.5
2022-10-03 19:00:00,0.000460354,0,0,0
2022-10-03 20:00:00,0,0,0,0
2022-10-03 21:00:00,0,0,0,0
2022-10-03 22:00:00,0,0,0,0
2022-10-03 23:00:00,0,0,0,0
2022-10-04 00:00:00,0,0,0,0
2022-10-04 01:00:00,0,0,0,0
2022-10-04 02:00:00,0,0,0,0
2022-10-04 03:00:00,0,0,0,0
2022-10-04 04:00:00,0,0,0,0
2022-10-04 05:00:00,0,0,0,0
2022-10-04 06:00:00,0,0,0,0
2022-10-04 07:00:00,23.83321,34.75,37,35.75
2022-10-04 08:00:00,249.7068,479.75,495,420.5
2022-10-04 09:00:00,510.1545,1057.25,1052.5,1041.25
2022-10-04 10:00:00,734.9968,1479.5,1476,1496.5
2022-10-04 11:00:00,895.29,1664,1663.5,1665.5
2022-10-04 12:00:00,985.7349,1665.75,1666,1666
2022-10-04 13:00:00,998.2303,1666.25,1666,1666.25
2022-10-04 14:00:00,925.6879,1663.25,1664,1665
2022-10-04 15:00:00,770.7651,1470.75,1484.5,1497
2022-10-04 16:00:00,571.3607,1077.5,1109.25,1101.5
2022-10-04 17:00:00,311.5271,528,578.75,542.5
2022-10-04 18:00:00,35.33366,74.5,101,81
2022-10-04 19:00:00,0,0,0,0
2022-10-04 20:00:00,0,0,0,0
2022-10-04 21:00:00,0,0,0,0
2022-10-04 22:00:00,0,0,0,0
2022-10-04 23:00:00,0,0,0,0
2022-10-05 00:00:00,0,0,0,0
2022-10-05 01:00:00,0,0,0,0
2022-10-05 02:00:00,0,0,0,0
2022-10-05 03:00:00,0,0,0,0
2022-10-05 04:00:00,0,0,0,0
2022-10-05 05:00:00,0,0,0,0
2022-10-05 06:00:00,0,0,0,0
2022-10-05 07:00:00,35.51126,36.25,50,38.25
2022-10-05 08:00:00,263.7448,479.25,495.25,419.5
2022-10-05 09:00:00,497.6043,1041.75,1036.5,1025.5
2022-10-05 10:00:00,716.8008,1424.75,1422,1434.25
2022-10-05 11:00:00,873.6226,1647.75,1647,1652.5
2022-10-05 12:00:00,959.3806,1666.25,1666.25,1665.75
2022-10-05 13:00:00,964.7019,1666,1666,1666.25
2022-10-05 14:00:00,892.8674,1653.5,1653.25,1656.25
2022-10-05 15:00:00,752.8699,1435.25,1448,1457.25
2022-10-05 16:00:00,548.5238,1035.25,1065,1059.25
2022-10-05 17:00:00,300.9979,509.75,561.25,525
2022-10-05 18:00:00,28.94867,71,93.75,75.5
2022-10-05 19:00:00,0,0,0,0
2022-10-05 20:00:00,0,0,0,0
2022-10-05 21:00:00,0,0,0,0
2022-10-05 22:00:00,0,0,0,0
2022-10-05 23:00:00,0,0,0,0
2022-10-06 00:00:00,0,0,0,0
2022-10-06 01:00:00,0,0,0,0
2022-10-06 02:00:00,0,0,0,0
2022-10-06 03:00:00,0,0,0,0
2022-10-06 04:00:00,0,0,0,0
2022-10-06 05:00:00,0,0,0,0
2022-10-06 06:00:00,0,0,0,0
2022-10-06 07:00:00,32.93596,36.75,48.25,38
2022-10-06 08:00:00,264.6885,471.75,487.25,421.25
2022-10-06 09:00:00,498.2585,1023,1013.75,1005.5
2022-10-06 10:00:00,703.273,1374.75,1368.25,1380.25
2022-10-06 11:00:00,859.3191,1619.5,1612.75,1622.25
2022-10-06 12:00:00,943.9612,1665.75,1665.75,1665.75
2022-10-06 13:00:00,951.888,1666.25,1666,1665.75
2022-10-06 14:00:00,882.0919,1619.5,1614.75,1621
