"Sonne Two, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Timestamp,POA*,"SMA SC-1850-US - 1, AC Real Power","SMA SC-1850-US - 2, AC Real Power","SMA SC-1850-US - 3, AC Real Power"
,W/m²,kW,kW,kW
2022-10-01 00:00:00,0,0,0,0
2022-10-01 01:00:00,0,0,0,0
2022-10-01 02:00:00,0,0,0,0
2022-10-01 03:00:00,0,0,0,0
2022-10-01 04:00:00,0,0,0,0
2022-10-01 05:00:00,0,0,0,0
2022-10-01 06:00:00,0,0,0,0
2022-10-01 07:00:00,7.945795,13.75,14.25,9.75
2022-10-01 08:00:00,45.10241,85,87.5,63
2022-10-01 09:00:00,133.4747,248.25,255,181
2022-10-01 10:00:00,230.8887,420.75,428.5,306
2022-10-01 11:00:00,328.7733,600.5,616,443.75
2022-10-01 12:00:00,437.2693,789.75,812.5,587.5
2022-10-01 13:00:00,651.7188,1127.75,1161.75,849.5
2022-10-01 14:00:00,428.7821,778,805.5,589
2022-10-01 15:00:00,242.7381,447,460,331.5
2022-10-01 16:00:00,259.6202,465.75,472.5,338.5
2022-10-01 17:00:00,158.4575,287.5,292.25,212.25
2022-10-01 18:00:00,28.28396,52,53.25,37.75
2022-10-01 19:00:00,0.4278275,1,1,0.5
2022-10-01 20:00:00,0,0,0,0
2022-10-01 21:00:00,0,0,0,0
2022-10-01 22:00:00,0,0,0,0
2022-10-01 23:00:00,0,0,0,0
2022-10-02 00:00:00,0,0,0,0
2022-10-02 01:00:00,0,0,0,0
2022-10-02 02:00:00,0,0,0,0
2022-10-02 03:00:00,0,0,0,0
2022-10-02 04:00:00,0,0,0,0
2022-10-02 05:00:00,0,0,0,0
2022-10-02 06:00:00,0,0,0,0
2022-10-02 07:00:00,12.12082,20.75,21.25,14.25
2022-10-02 08:00:00,115.7788,206,214,148.5
2022-10-02 09:00:00,268.2869,484.75,498.75,348
2022-10-02 10:00:00,229.0861,428.5,443,312.5
2022-10-02 11:00:00,157.5874,305.25,311.25,221.25
2022-10-02 12:00:00,230.2534,439.75,447,322.5
2022-10-02 13:00:00,516.1456,902,938.5,697.25
2022-10-02 14:00:00,279.4907,516.75,527.75,379
2022-10-02 15:00:00,214.9303,399,421.5,319.25
2022-10-02 16:00:00,164.413,305,314.75,226.5
2022-10-02 17:00:00,101.6367,184.75,187.5,132.75
2022-10-02 18:00:00,20.77497,40.25,40.75,28.5
2022-10-02 19:00:00,0.1183309,0.25,0.25,0
2022-10-02 20:00:00,0,0,0,0
2022-10-02 21:00:00,0,0,0,0
2022-10-02 22:00:00,0,0,0,0
2022-10-02 23:00:00,0,0,0,0
2022-10-03 00:00:00,0,0,0,0
2022-10-03 01:00:00,0,0,0,0
2022-10-03 02:00:00,0,0,0,0
2022-10-03 03:00:00,0,0,0,0
2022-10-03 04:00:00,0,0,0,0
2022-10-03 05:00:00,0,0,0,0
2022-10-03 06:00:00,0,0,0,0
2022-10-03 07:00:00,7.193042,12.5,12.25,8.5
2022-10-03 08:00:00,91.85951,165.5,170.75,120
2022-10-03 09:00:00,297.9036,548.5,566.75,389.25
2022-10-03 10:00:00,670.5524,1130,1165.5,797
2022-10-03 11:00:00,525.1992,914,922.75,717.75
2022-10-03 12:00:00,808.8154,1316.25,1338.75,1147
2022-10-03 13:00:00,822.1486,1345.5,1352.25,1132.25
2022-10-03 14:00:00,718.9003,1273.75,1276.25,1015.25
2022-10-03 15:00:00,584.4265,1020.75,1042.5,767.5
2022-10-03 16:00:00,501.6736,929,991.5,746.75
2022-10-03 17:00:00,202.0484,382.75,394,290.75
