Lakeview Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMEIC 2.7MW Inverter 1.1.1, Active Power P","TMEIC 2.7MW Inverter 1.2.1, Active Power P","TMEIC 2.7MW Inverter 1.3.1, Active Power P","TMEIC 2.7MW Inverter 1.4.1, Active Power P"
,W/m²,kW,kW,kW,kW
2022-10-01 00:00:00,0,0,0,0,0
2022-10-01 01:00:00,0,0,0,0,0
2022-10-01 02:00:00,0,0,0,0,0
2022-10-01 03:00:00,0,0,0,0,0
2022-10-01 04:00:00,0,0,0,0,0
2022-10-01 05:00:00,0,0,0,0,0
2022-10-01 06:00:00,0.6707941,0,0,0,0
2022-10-01 07:00:00,128.9948,107.97,152.1033,196.7675,211.9258
2022-10-01 08:00:00,626.9492,1424.784,1631.197,1782.14,1740.258
2022-10-01 09:00:00,746.8862,2519.549,2534.57,2536.216,2482.665
2022-10-01 10:00:00,767.1765,2445.046,2495.869,2521.106,2420.027
2022-10-01 11:00:00,761.1664,2306.014,2350.377,2359.514,2262.888
2022-10-01 12:00:00,755.3469,2197.83,2246.294,2260.899,2166.203
2022-10-01 13:00:00,755.0543,2219.418,2260.288,2267.381,2172.906
2022-10-01 14:00:00,760.4899,2286.585,2328.937,2329.549,2231.833
2022-10-01 15:00:00,760.2442,2368.557,2409.785,2425.398,2326.538
2022-10-01 16:00:00,697.1403,2414.589,2458.213,2472.462,2369.74
2022-10-01 17:00:00,514.5172,,,,
2022-10-01 18:00:00,105.8432,,,,
2022-10-01 19:00:00,0,,,,
2022-10-01 20:00:00,0,,,,
2022-10-01 21:00:00,0,,,,
2022-10-01 22:00:00,0,,,,
2022-10-01 23:00:00,0,,,,
2022-10-02 00:00:00,0,,,,
2022-10-02 01:00:00,0,,,,
2022-10-02 02:00:00,0,,,,
2022-10-02 03:00:00,0,,,,
2022-10-02 04:00:00,0,,,,
2022-10-02 05:00:00,0,,,,
2022-10-02 06:00:00,0.3941722,0,0,0,0
2022-10-02 07:00:00,126.4505,99.77249,142.5275,183.4167,197.63
2022-10-02 08:00:00,614.2989,1357.716,1564.862,1712.215,1672.976
2022-10-02 09:00:00,747.8149,2425.767,2476.264,2485.365,2381.731
2022-10-02 10:00:00,767.2711,2364.698,2413.808,2425.117,2324.89
2022-10-02 11:00:00,759.8703,2226.376,2273.686,2281.769,2193.026
2022-10-02 12:00:00,751.5037,2138.387,2180.077,2193.88,2102.133
2022-10-02 13:00:00,750.0419,2128.959,2175.574,2188.945,2098.194
2022-10-02 14:00:00,757.1747,2227.676,2267.029,2278.397,2188.448
2022-10-02 15:00:00,761.1042,2336.049,2377.562,2383.294,2287.536
2022-10-02 16:00:00,722.2359,2282.639,2322.648,2329.587,2236.165
2022-10-02 17:00:00,492.0037,1216.128,1240.648,1248.016,1199.269
2022-10-02 18:00:00,92.85358,59.80334,62.44001,63.74334,61.845
2022-10-02 19:00:00,0,0,0,0,0
2022-10-02 20:00:00,0.07751218,0,0,0,0
2022-10-02 21:00:00,0.02280485,0,0,0,0
2022-10-02 22:00:00,0,0,0,0,0
2022-10-02 23:00:00,0,0,0,0,0
2022-10-03 00:00:00,0,0,0,0,0
2022-10-03 01:00:00,0,0,0,0,0
2022-10-03 02:00:00,0,0,0,0,0
2022-10-03 03:00:00,0,0,0,0,0
2022-10-03 04:00:00,0,0,0,0,0
2022-10-03 05:00:00,0,0,0,0,0
2022-10-03 06:00:00,0.5026793,0,0,0,0
2022-10-03 07:00:00,108.5575,93.9225,132.545,167.4825,178.8492
2022-10-03 08:00:00,613.538,1299.546,1513.066,1665.936,1627.997
2022-10-03 09:00:00,747.6235,2422.417,2472.463,2480.768,2377.001
2022-10-03 10:00:00,765.8231,2328.656,2374.972,2383.57,2286.393
2022-10-03 11:00:00,758.9465,2207.378,2254.095,2263.968,2172.116
2022-10-03 12:00:00,750.3787,2124.251,2160.93,2169.289,2079.304
2022-10-03 13:00:00,752.1375,2144.633,2187.14,2197.722,2107.062
2022-10-03 14:00:00,764.6884,2242.558,2283.795,2292.892,2198.428
2022-10-03 15:00:00,769.519,2359.386,2398.174,2406.253,2308.345
2022-10-03 16:00:00,737.6367,2303.43,2347.522,2354.651,2256.696
2022-10-03 17:00:00,505.2521,1223.772,1250.564,1257.941,1209.769
2022-10-03 18:00:00,85.57359,52.19834,54.29499,55.86917,54.13499
2022-10-03 19:00:00,0,0,0,0,0
2022-10-03 20:00:00,0.04018528,0,0,0,0
2022-10-03 21:00:00,0.02012048,0,0,0,0
2022-10-03 22:00:00,0,0,0,0,0
2022-10-03 23:00:00,0,0,0,0,0
2022-10-04 00:00:00,0.050842,0,0,0,0
2022-10-04 01:00:00,0,0,0,0,0
2022-10-04 02:00:00,0,0,0,0,0
2022-10-04 03:00:00,0,0,0,0,0
2022-10-04 04:00:00,0,0,0,0,0
2022-10-04 05:00:00,0,0,0,0,0
2022-10-04 06:00:00,0.4229934,0,0,0,0
2022-10-04 07:00:00,113.4168,89.94167,130.3883,160.7567,173.7475
2022-10-04 08:00:00,606.7383,1272.382,1491.097,1649.265,1612.518
2022-10-04 09:00:00,743.4657,2405.403,2454.521,2461.18,2356.115
2022-10-04 10:00:00,762.1629,2317.552,2366.433,2376.573,2282.501
2022-10-04 11:00:00,755.4186,2192.58,2240.236,2254.239,2163.168
2022-10-04 12:00:00,748.5533,2113.68,2157.347,2169.8,2084.41
2022-10-04 13:00:00,749.6025,2119.224,2162.238,2173.861,2089.271
2022-10-04 14:00:00,757.7913,2205.357,2247.438,2256.31,2168.143
2022-10-04 15:00:00,773.9802,2371.434,2417.708,2423,2324.187
2022-10-04 16:00:00,710.6197,2235.57,2282.642,2294.738,2205.969
2022-10-04 17:00:00,463.7862,1065.159,1088.803,1083.592,1043.001
2022-10-04 18:00:00,61.48333,29.89584,31.74501,33.3425,32.71667
2022-10-04 19:00:00,0,0,0,0,0
2022-10-04 20:00:00,0.09662725,0,0,0,0
2022-10-04 21:00:00,0.04696585,0,0,0,0
2022-10-04 22:00:00,0,0,0,0,0
