Monroe Moore Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA*,"SMA 800 CP-US - A1, Pac","SMA 800 CP-US - A2, Pac","SMA 800 CP-US - B1, Pac","SMA 800 CP-US - B2, Pac","SMA 800 CP-US - C1, Pac","SMA 800 CP-US - C2, Pac"
,W/m²,kW,kW,kW,kW,kW,kW
2022-10-01 00:00:00,0,0,0,0,0,0,0
2022-10-01 01:00:00,0,0,0,0,0,0,0
2022-10-01 02:00:00,0,0,0,0,0,0,0
2022-10-01 03:00:00,0,0,0,0,0,0,0
2022-10-01 04:00:00,0,0,0,0,0,0,0
2022-10-01 05:00:00,0,0,0,0,0,0,0
2022-10-01 06:00:00,0,0,0,0,0,0,0
2022-10-01 07:00:00,5.238956,0.4631628,2.515923,0.477459,0.564979,0.587767,1.730933
2022-10-01 08:00:00,77.76207,66.17429,67.6871,66.90023,64.77061,67.28459,73.20441
2022-10-01 09:00:00,164.2805,145.57,148.7124,145.1606,139.6963,144.3315,155.3718
2022-10-01 10:00:00,285.9056,251.4854,257.2541,269.116,255.6059,265.9429,282.6509
2022-10-01 11:00:00,374.714,264.1416,243.687,324.1603,193.6635,324.0886,223.455
2022-10-01 12:00:00,534.7194,432.647,428.4701,254.0521,407.8497,258.2947,436.8749
2022-10-01 13:00:00,561.347,471.7122,480.4879,471.3031,453.4467,462.6013,490.108
2022-10-01 14:00:00,312.4299,284.3434,287.8669,282.8105,265.5651,278.8338,291.741
2022-10-01 15:00:00,230.1028,204.2948,202.9789,206.2702,199.1651,206.2038,222.0166
2022-10-01 16:00:00,154.5777,140.2404,143.5867,140.2081,131.702,133.0008,144.6468
2022-10-01 17:00:00,102.2746,92.16196,93.62751,92.67363,87.99612,84.03774,97.32909
2022-10-01 18:00:00,15.28049,13.76621,13.90957,14.41276,13.71921,12.91004,15.54245
2022-10-01 19:00:00,0.07345351,0,0.0892477,0.08881855,0.07844038,0.07597248,0.0992212
2022-10-01 20:00:00,0,0,0,0,0,0,0
2022-10-01 21:00:00,0,0,0,0,0,0,0
2022-10-01 22:00:00,0,0,0,0,0,0,0
2022-10-01 23:00:00,0,0,0,0,0,0,0
2022-10-02 00:00:00,0,0,0,0,0,0,0
2022-10-02 01:00:00,0,0,0,0,0,0,0
2022-10-02 02:00:00,0,0,0,0,0,0,0
2022-10-02 03:00:00,0,0,0,0,0,0,0
2022-10-02 04:00:00,0,0,0,0,0,0,0
2022-10-02 05:00:00,0,0,0,0,0,0,0
2022-10-02 06:00:00,0,0,0,0,0,0,0
2022-10-02 07:00:00,9.389958,3.720087,4.900631,1.691173,3.341827,3.218837,5.012799
2022-10-02 08:00:00,33.6398,31.21612,31.55895,31.43746,29.84878,31.14034,33.15137
2022-10-02 09:00:00,245.3801,227.798,224.764,226.5357,213.4324,218.3292,236.9732
2022-10-02 10:00:00,718.586,661.0371,667.0966,650.396,609.5917,634.4594,680.38
