Timestamp,POA Irradiance,Meter Power,Inverter_1,Inverter_2,Avg_Top_20%,Expected Sum
2022-10-01 00:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 01:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 02:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 03:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 04:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 05:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 06:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 07:00:00,9.236827,,7.085917,8.373751,,15.459668
2022-10-01 08:00:00,84.36362,,73.80432,86.78904,86.78904,160.59336000000002
2022-10-01 09:00:00,164.1044,,135.8365,158.4382,158.4382,294.2747
2022-10-01 10:00:00,373.9646,,260.6255,287.1462,287.1462,547.7717
2022-10-01 11:00:00,415.3732,,302.8023,344.7054,344.7054,647.5077
2022-10-01 12:00:00,830.466,,652.8464,691.7424,691.7424,1344.5888
2022-10-01 13:00:00,758.5689,,580.8234,660.0156,660.0156,1240.839
2022-10-01 14:00:00,685.1876,,458.481,498.99,498.99,957.471
2022-10-01 15:00:00,656.6213,,468.0958,533.0128,533.0128,1001.1086
2022-10-01 16:00:00,238.8577,,193.2044,202.9672,202.9672,396.1716
2022-10-01 17:00:00,61.45367,,47.29898,54.83981,54.83981,102.13879
2022-10-01 18:00:00,33.883,,22.2193,26.07292,,48.29222
2022-10-01 19:00:00,0.4533611,,0.0,0.0,,0.0
2022-10-01 20:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 21:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 22:00:00,0.0,,0.0,0.0,,0.0
2022-10-01 23:00:00,0.0,,0.0,0.0,,0.0
2022-10-02 00:00:00,0.0,,0.0,0.0,,0.0
2022-10-02 01:00:00,0.0,,0.0,0.0,,0.0
2022-10-02 02:00:00,0.0,,0.0,0.0,,0.0
2022-10-02 03:00:00,0.0,,0.0,0.0,,0.0
2022-10-02 04:00:00,0.0,,0.0,0.0,,0.0
2022-10-02 05:00:00,0.0,,0.0,0.0,,0.0
2022-10-02 06:00:00,0.0,,0.0,0.0,,0.0
2022-10-02 07:00:00,25.08323,,24.03853,27.92619,,51.96472
2022-10-02 08:00:00,246.9643,,215.5344,249.6156,249.6156,465.15
