Site Name,Address,City,State,Latitude,Longitude
1634,445 W Bobo Newsom Highway,Hartsville,SC,34.3387023,-80.0826036
ART 1,1947 N Fayetteville St,Asheboro,NC,35.752593,-79.8063854
ART 3,187 High House Road,Cary,NC,35.7832799,-78.7984122
ART 4,149 Campus Drive,Warrenton,NC,36.4324177,-78.1655282
ASPP 2,17900 Dana Rd,Laurinburg,NC,34.7740494,-79.4628248
Adams,627 Hwy 17,Piedmont,SC,34.6954421,-82.5294726
Adams Neilson,S.Neilson Rd; W. 3rd St,Lind,WA,46.9659215,-118.6210891
Agate Bay,14841 Agate Rd,Eagle Point,OR,42.5225614,-122.8367639
Albertson,119 Coy Smith Rd. ,Albertson,NC,35.0936415,-77.8122265
Amethyst,1523 US 221 HWY South,Rutherfordton,NC,35.3161945,-81.9288646
Anderson,914 Lewis St,Anderson,SC,34.49283,-82.673773
Arba,4334 Hull Road,Snow Hill,NC,35.3950703,-77.7062443
Arba Solar Energy Storage,3666 Hwy 903 S,Snow Hill,NC,35.4192471,-77.7300741
Atkinson 2,681 JACKSON STORE ROAD,Beulaville,NC,34.8934035,-77.7963396
Audrey,807 Greenbrook Dr,Shelby,NC,35.3342461,-81.6183178
Augusta,318 Callison Hwy,Greenwood,SC,34.1232438,-82.1277548
Aulander,"1625 NC 11 S

Pole ID 305R4 (757) 857-2888",Aulander,NC,35.2443113,-77.6151047
Bani,619 North Lynchburg Highway,Olanta,SC,33.9549102,-79.9373225
Bartow,4115 E Gaskins Rd ,Bartow,FL,27.9249718,-81.7781868
Beaufort,7840 U.S. 17S,Chocowinity,NC,35.4683971,-77.1195727
Best Lane Collector Station,52960 Best Lane,Suntex,OR,43.8041334,-120.5542012
Beulaville,165 Little Bubbles Lane,Beulaville,NC,34.9019395,-77.7846597
Bighorn,5604 Lardon Road NE Right turn onto gravel road rather than staying left on pav,Salem,OR,44.9681979,-122.9465544
Briarwood,1325 Florida Avenue,Greenwood,SC,34.144119,-82.173658
Brightwood,55855 E Marmot Rd,Sandy,Oregon,45.387232,-122.089101
Brush Creek,12115 Selah Springs Rd NE,Silverton ,OR ,44.9842385,-122.8142096
"Carnes Creek Solar, LLC",10825 Portland Road NE,Silverton,OR,45.0759708,-122.9279526
Carter,500 John B Carter Rd,Fayetteville,NC,35.0236285,-78.7885823
Chiloquin,42433 Cattle Dr,Chiloquin,OR,42.6092047,-121.859212
Collier,21875 Neff Rd,Bend,OR,44.061078,-121.227416
Colton,19135 S Hwy 211,Molalla,OR,45.1475439,-122.5771264
Connley Collector Station,62661 Webster Road ,Fort Rock,OR,43.3775252,-120.9941091
"Cosper Creek Solar, LLC",22755 OR-18 BUS,Willamina,OR,45.0613678,-123.494296
Cotten Farm,1141 Cotten Rd.,Sanford,North Carolina,35.528411,-79.2015107
Cottonwood,324 Macon Price Rd,Garysburg,NC,36.509118,-77.612707
County Home,230 Victory Lane,Shelby,NC,35.2627518,-81.504169
Dairy,977 Mitchell Rd,Dairy,OR,42.244756,-121.575658
Davis Lane,132 Davis Lane,Edenton,NC,36.1071393,-76.527675
Dayton Cutoff,10070 SE Amity Dayton Hwy,McMinnville,OR,45.1721565,-123.1302551
Drift Creek,12533 Finlay Rd. NE ,Silverton,OR,44.9698988,-122.8063682
EMJ Solar,10301 Falls of Neuse Rd,Raleigh,NC,35.914821,-78.599498
Eagle Point,5842 McLoughlin Dr,Central Point,OR,42.399763,-122.829839
Exhibit Court,7521 Exhibit Court,Raleigh,NC,35.9141997,-78.7587959
Facile Solar,2635 W. Front St. ,Burlington,NC,36.0998675,-79.4918971
Faison,190 Robert Hobbs Rd,Faison,NC,35.0720548,-78.1140247
Fayetteville PWC,2274 Custer Ave,Fayetteville,NC,35.0987636,-78.8307876
Fort Rock Solar I,78625 Connley Lane,Fort Rock,OR,43.315587,-121.002211
Fort Rock Solar IV,62661 Webster Rd,Fort Rock,OR,43.3775252,-120.9941091
Four Oaks,1667 NC HWY 96 S,Four Oaks,NC,35.432589,-78.409491
Franklin,151 Firetower Road,Louisburg,NC,36.09876,-78.172316
Freemont,857 NC HWY 16,Stanley,NC,35.4274536,-81.004359
"Fruitland Creek Solar, LLC",6025 State St,Salem,OR,44.930017,-122.936891
GE Aviation,3701 S Miami Blvd,Durham,NC,35.91357,-78.8507
Garner Solar,3220 Transmitter Road,Garner ,NC,35.6744183,-78.5260072
Gastonia Solar,605 Neal Hawkins Rd.,Gastonia,NC,35.2292702,-81.1893838
Gauss,12350 HWY NC-903,Halifax,NC,36.3530281,-77.6436128
Gold Mine,280 Gold Mine Road,Bradley,SC,34.076103,-82.230673
Grand Ronde,28098 Andy Riggs Rd,Grand Ronde,OR,45.0545711,-123.6070884
Grantham Middle School,3093 South US 13 Hwy S,Goldsboro,NC,35.4278993,-77.8834207
Hamlet Solar Energy Storage,120 Cooperative Way,Hamlet,NC,34.84372,-79.7348258
Interstate,14425 Butteville Rd NE,Gervais,OR,45.1300811,-122.8986471
Jersey,1253 Wire Grass Road,Lumberton,NC,34.5645517,-79.0373394
"Kaiser Creek Solar, LLC",32018 S HWY 213,Molalla,OR,45.1409056,-122.6082332
Kohl's Beaverton,11055 SW Canyon Rd�,Beaverton�,OR�,45.4933447,-122.7902808
Lafayette,2239 S Lafayette St,Shelby,NC,35.232396,-81.564248
Lakeview ,1740-1906 Missouri Ave,Lakeview,OR,42.2039229,-120.3604354
Lane,740 OLD SMITHFIELD ROAD,GOLDSBORO,NC,35.401785,-78.0509986
Langley,6208 East Langley Rd,Elm City,NC,35.8031296,-77.8497961
Little River,1088 Little River Rd,Asheboro,NC,35.5333078,-79.8038707
Locust Grove,525 Locust Grove Road,Spartanburg,SC,35.0047,-81.9833943
Manning,911 Manning Ave,Elon,NC,36.118451,-79.521393
Mariposa,220 Mariposa Road,Stanley,NC,35.3755432,-81.0912674
Mattress Factory,651 Mattress Factory rd,Mebane,NC,36.08443,-79.24234
Meeks,1670 Meeks Rd,Robersonville,NC,35.8144581,-77.2920514
Merrill,21439 Hwy-39 ,Merrill,OR,42.030549,-121.6134574
Mill Creek,30200 Mill Creek Rd,Sheridan,OR,45.0869971,-123.4235455
